"Var1" "Freq"
"1" "0%" 2.27174671596735e-06
"2" "5%" 0.00017069803018468
"3" "10%" 0.000241576517209261
"4" "20%" 0.000363122391748786
"5" "25%" 0.000422050271258033
"6" "30%" 0.000484266507723875
"7" "40%" 0.000623269055568568
"8" "50%" 0.00078165612120816
"9" "60%" 0.00099665346141817
"10" "70%" 0.0012918264487768
"11" "75%" 0.00149604153439961
"12" "80%" 0.00177957882895419
"13" "90%" 0.00291166356209355
"14" "100%" 0.275748562443049
