"Var1" "Freq"
"1" "Min." 2.27174671596735e-06
"2" "1st Qu." 0.000422050271258033
"3" "Median" 0.00078165612120816
"4" "Mean" 0.0016105232474455
"5" "3rd Qu." 0.00149604153439961
"6" "Max." 0.275748562443049
