"","x"
"sa25124.pdf.broadband",78
"sa25124.pdf.servic",60
"sa25124.pdf.aid",51
"sa25124.pdf.measur",48
"sa25124.pdf.provid",44
"sa25124.pdf.fund",38
"sa25124.pdf.oper",35
"sa25124.pdf.select",31
"sa25124.pdf.municip",29
"sa25124.pdf.project",29
"sa25137.pdf.servic",70
"sa25137.pdf.measur",54
"sa25137.pdf.aid",46
"sa25137.pdf.project",32
"sa25137.pdf.provid",28
"sa25137.pdf.commiss",27
"sa25137.pdf.oper",21
"sa25137.pdf.rural",21
"sa25137.pdf.access",19
"sa25137.pdf.communic",18
"sa25435.pdf.broadband",60
"sa25435.pdf.servic",52
"sa25435.pdf.aid",48
"sa25435.pdf.measur",44
"sa25435.pdf.provid",42
"sa25435.pdf.oper",33
"sa25435.pdf.fund",32
"sa25435.pdf.select",29
"sa25435.pdf.project",26
"sa25435.pdf.market",23
"sa25739.pdf.broadband",65
"sa25739.pdf.servic",44
"sa25739.pdf.aid",39
"sa25739.pdf.measur",39
"sa25739.pdf.provid",36
"sa25739.pdf.oper",31
"sa25739.pdf.select",25
"sa25739.pdf.commiss",21
"sa25739.pdf.market",18
"sa25739.pdf.communic",17
"sa25740.pdf.broadband",41
"sa25740.pdf.measur",35
"sa25740.pdf.servic",34
"sa25740.pdf.aid",32
"sa25740.pdf.oper",31
"sa25740.pdf.provid",29
"sa25740.pdf.select",27
"sa25740.pdf.market",20
"sa25740.pdf.access",19
"sa25740.pdf.competit",19
"sa25779.pdf.broadband",40
"sa25779.pdf.aid",32
"sa25779.pdf.servic",30
"sa25779.pdf.measur",29
"sa25779.pdf.oper",26
"sa25779.pdf.provid",20
"sa25779.pdf.adig",19
"sa25779.pdf.alto",18
"sa25779.pdf.commiss",18
"sa25779.pdf.infrastructur",14
"sa26377.pdf.aid",107
"sa26377.pdf.region",95
"sa26377.pdf.scheme",73
"sa26377.pdf.develop",62
"sa26377.pdf.invest",61
"sa26377.pdf.infrastructur",46
"sa26377.pdf.project",35
"sa26377.pdf.elig",33
"sa26377.pdf.increas",25
"sa26377.pdf.cost",23
"sa26413.pdf.servic",47
"sa26413.pdf.broadband",44
"sa26413.pdf.measur",31
"sa26413.pdf.oper",27
"sa26413.pdf.provid",25
"sa26413.pdf.aid",23
"sa26413.pdf.author",21
"sa26413.pdf.select",20
"sa26413.pdf.econom",18
"sa26413.pdf.competit",16
"sa27517.pdf.aid",15
"sa27517.pdf.scheme",11
"sa27517.pdf.articl",10
"sa27517.pdf.axi",8
"sa27517.pdf.broadband",8
"sa27517.pdf.servic",8
"sa27517.pdf.treati",8
"sa27517.pdf.fund",6
"sa27517.pdf.provid",6
"sa27517.pdf.user",6
"sa28092.pdf.aid",17
"sa28092.pdf.oper",10
"sa28092.pdf.commiss",8
"sa28092.pdf.measur",7
"sa28092.pdf.amend",6
"sa28092.pdf.european",6
"sa28092.pdf.procedur",6
"sa28092.pdf.author",5
"sa28092.pdf.broadband",5
"sa28092.pdf.consult",5
"sa28156.pdf.broadband",63
"sa28156.pdf.aid",48
"sa28156.pdf.network",45
"sa28156.pdf.measur",43
"sa28156.pdf.servic",37
"sa28156.pdf.oper",36
"sa28156.pdf.public",30
"sa28156.pdf.infrastructur",27
"sa28156.pdf.author",26
"sa28156.pdf.market",25
"sa28192.pdf.broadband",69
"sa28192.pdf.network",48
"sa28192.pdf.servic",48
"sa28192.pdf.measur",47
"sa28192.pdf.oper",43
"sa28192.pdf.aid",36
"sa28192.pdf.infrastructur",31
"sa28192.pdf.author",27
"sa28192.pdf.lithuanian",26
"sa28192.pdf.econom",25
"sa28435.pdf.broadband",70
"sa28435.pdf.aid",48
"sa28435.pdf.municip",41
"sa28435.pdf.project",39
"sa28435.pdf.measur",38
"sa28435.pdf.niedersachsen",34
"sa28435.pdf.support",34
"sa28435.pdf.author",32
"sa28435.pdf.servic",32
"sa28435.pdf.fund",30
"sa28438.pdf.mobil",38
"sa28438.pdf.measur",33
"sa28438.pdf.aid",28
"sa28438.pdf.oper",28
"sa28438.pdf.commiss",22
"sa28438.pdf.servic",22
"sa28438.pdf.competit",15
"sa28438.pdf.avail",14
"sa28438.pdf.notifi",14
"sa28438.pdf.adig",13
"sa28665.pdf.aid",50
"sa28665.pdf.broadband",46
"sa28665.pdf.measur",35
"sa28665.pdf.author",29
"sa28665.pdf.spanish",29
"sa28665.pdf.commiss",27
"sa28665.pdf.servic",25
"sa28665.pdf.oper",24
"sa28665.pdf.invest",21
"sa28665.pdf.guidelin",16
"sa28845.pdf.broadband",80
"sa28845.pdf.duct",75
"sa28845.pdf.provid",47
"sa28845.pdf.support",47
"sa28845.pdf.oper",44
"sa28845.pdf.municip",40
"sa28845.pdf.fund",39
"sa28845.pdf.author",34
"sa28845.pdf.aid",33
"sa28845.pdf.german",30
"sa28969.pdf.network",132
"sa28969.pdf.servic",128
"sa28969.pdf.oper",126
"sa28969.pdf.broadband",122
"sa28969.pdf.infrastructur",105
"sa28969.pdf.author",103
"sa28969.pdf.spanish",91
"sa28969.pdf.public",78
"sa28969.pdf.aid",71
"sa28969.pdf.access",68
"sa29001.pdf.broadband",66
"sa29001.pdf.servic",57
"sa29001.pdf.measur",45
"sa29001.pdf.aid",44
"sa29001.pdf.lot",40
"sa29001.pdf.provid",33
"sa29001.pdf.author",28
"sa29001.pdf.busi",28
"sa29001.pdf.speed",24
"sa29001.pdf.competit",20
"sa29028.pdf.broadband",55
"sa29028.pdf.aid",49
"sa29028.pdf.oper",47
"sa29028.pdf.measur",37
"sa29028.pdf.servic",34
"sa29028.pdf.provid",33
"sa29028.pdf.network",32
"sa29028.pdf.author",30
"sa29028.pdf.infrastructur",29
